video_id,frame_numbers,frame_numbers_sampled,luminance_avg,entropy_avg,face_binary,warmth,cold
example1,366,61,128.86619673079844,7.752662563584833,0,0.0,0.0
example2,289,49,128.38704059488379,7.595563400351258,0,0.0,0.0
example3,223,38,27.685451185834957,5.782479610833787,38,0.0,0.0
example4,411,69,130.02391114067532,7.06863152609066,0,0.0,0.0
